date;Marketcap
2017-12-29;586548000000
2017-12-30;567211000000
2017-12-31;611988000000
2018-01-01;612273000000
2018-01-02;641785000000
2018-01-03;715200000000
2018-01-04;761516000000
2018-01-05;777906000000
2018-01-06;795412000000
2018-01-07;835510000000
2018-01-08;751013000000
2018-01-09;734505000000
2018-01-10;714953000000
2018-01-11;706344000000
2018-01-12;710558000000
2018-01-13;743674000000
2018-01-14;701025000000
2018-01-15;711006000000
2018-01-16;546114000000
2018-01-17;554368000000
2018-01-18;571398000000
2018-01-19;579087000000
2018-01-20;631479000000
2018-01-21;551815000000
2018-01-22;558178000000
2018-01-23;501096000000
2018-01-24;543738000000
2018-01-25;555145000000
2018-01-26;515326000000
2018-01-27;539814000000
2018-01-28;595141000000
2018-01-29;564042000000
2018-01-30;556179000000
2018-01-31;515297000000
2018-02-01;486710000000
2018-02-02;371714000000
2018-02-03;437839000000
2018-02-04;423832000000
2018-02-05;362647000000
2018-02-06;297960000000
2018-02-07;389311000000
2018-02-08;398890000000
2018-02-09;401612000000
2018-02-10;431627000000
2018-02-11;402417000000
2018-02-12;426366000000
2018-02-13;414356000000
2018-02-14;435357000000
2018-02-15;461304000000
2018-02-16;471069000000
2018-02-17;501733000000
2018-02-18;491520000000
2018-02-19;500160000000
2018-02-20;507374000000
2018-02-21;482598000000
2018-02-22;447093000000
2018-02-23;454190000000
2018-02-24;431820000000
2018-02-25;430740000000
2018-02-26;435079000000
2018-02-27;461372000000
2018-02-28;450320000000
2018-03-01;451782000000
2018-03-02;371714000000
2018-03-03;461333000000
2018-03-04;455217000000
2018-03-05;472351000000
2018-03-06;447726000000
2018-03-07;431514000000
2018-03-08;406496000000
2018-03-09;365090000000
2018-03-10;385580000000
2018-03-11;375013000000
2018-03-12;397454000000
2018-03-13;369089000000
2018-03-14;354274000000
2018-03-15;332234000000
2018-03-16;326340000000
2018-03-17;327885000000
2018-03-18;296969000000
2018-03-19;318218000000
2018-03-20;329144000000
2018-03-21;354035000000
2018-03-22;333714000000
2018-03-23;326665000000
2018-03-24;334687000000
2018-03-25;325022000000
2018-03-26;310014000000
2018-03-27;300436000000
2018-03-28;305868000000
2018-03-29;279428000000
2018-03-30;264222000000
2018-03-31;267590000000
2018-04-01;252179000000
2018-04-02;265209000000
2018-04-03;274763000000
2018-04-04;265022000000
2018-04-05;256594000000
2018-04-06;249470000000
2018-04-07;258321000000
2018-04-08;266030000000
2018-04-09;273724000000
2018-04-10;264496000000
2018-04-11;270478000000
2018-04-12;300510000000
2018-04-13;324208000000
2018-04-14;312345000000
